Time,X,Y,Z
11:21:49.517,135.31,92.10,36.87
11:21:49.555,137.63,106.75,36.99
11:21:49.555,134.34,114.32,35.89
11:21:49.555,124.94,119.38,36.87
11:21:49.586,115.60,124.02,38.51
11:21:49.586,102.11,127.81,37.96
11:21:49.586,88.62,128.91,33.45
11:21:49.586,75.62,126.40,24.11
11:21:49.624,66.89,115.23,10.62
11:21:49.624,63.35,92.16,-3.78
11:21:49.624,69.03,64.39,-13.49
11:21:49.624,70.68,44.74,-17.70
11:21:49.663,59.08,29.54,-19.17
11:21:49.663,40.89,1.28,-16.42
11:21:49.663,18.49,-39.79,-3.11
11:21:49.663,-4.27,-81.91,23.01
11:21:49.701,-24.96,-120.85,51.51
11:21:49.701,-51.51,-167.11,76.97
11:21:49.701,-69.76,-221.56,101.44
11:21:49.701,-80.20,-275.57,125.85
11:21:49.740,-93.99,-327.21,153.87
11:21:49.740,-122.44,-374.21,183.78
11:21:49.740,-157.84,-413.21,212.77
11:21:49.740,-188.17,-446.59,240.42
11:21:49.772,-211.85,-480.83,266.91
11:21:49.772,-238.89,-515.62,293.27
11:21:49.772,-266.48,-549.50,312.74
11:21:49.807,-287.78,-577.94,324.77
11:21:49.807,-322.14,-607.73,325.32
11:21:49.807,-344.48,-647.89,320.19
11:21:49.807,-330.51,-693.91,315.80
11:21:49.846,-279.36,-728.21,324.10
11:21:49.846,-205.69,-755.62,346.74
11:21:49.846,-53.83,-768.98,389.53
11:21:49.846,120.12,-735.05,448.67
11:21:49.888,240.48,-659.67,494.08
11:21:49.888,336.18,-538.27,536.25
11:21:49.888,209.11,-381.71,533.45
11:21:49.912,44.86,-226.01,462.83
11:21:49.912,-3.17,-111.82,388.85
11:21:49.912,-16.36,-51.82,335.39
11:21:49.953,-17.09,-26.86,285.10
11:21:49.953,-24.41,-19.41,230.53
11:21:49.953,-33.57,-11.96,183.35
11:21:49.953,-37.84,-1.83,133.42
11:21:52.629,0.55,-0.61,0.06
11:21:52.667,0.49,-0.55,0.06
11:21:52.668,0.67,-0.55,0.00
11:21:52.668,0.79,-0.55,0.06
11:21:52.668,0.79,-0.55,0.06
11:21:52.717,0.67,-0.55,0.06
11:21:52.732,0.67,-0.61,0.06
11:21:52.732,0.79,-0.55,0.06
11:21:52.732,1.04,-0.55,0.00
11:21:52.732,1.10,-0.55,0.06
11:21:52.732,0.98,-0.55,0.06
11:21:52.764,0.92,-0.55,0.06
11:21:52.764,0.98,-0.55,0.06
11:21:52.764,1.04,-0.61,0.06
11:21:52.764,0.98,-0.55,0.00
11:21:52.803,0.92,-0.55,0.06
11:21:52.803,0.92,-0.55,0.06
11:21:52.803,0.79,-0.61,0.00
11:21:52.803,0.67,-0.55,0.06
11:21:52.839,0.61,-0.55,0.06
11:21:52.839,0.55,-0.55,0.06
